"ListaTitulo";"ListaId";"ListaUrl";"CampoTitulo";"CampoInternalName";"Tipo";"Obrigatorio";"Oculto";"SomenteLeitura";"LookupLista";"LookupCampo"
"05 — Contas a Pagar";"69b7469b-9cb9-4509-87dd-bba00b8142fd";"/sites/Equipe.Obras/Lists/05  Contas a Pagar";"ID do Tipo de Conteúdo";"ContentTypeId";"ContentTypeId";"False";"True";"True";"";""
"05 — Contas a Pagar";"69b7469b-9cb9-4509-87dd-bba00b8142fd";"/sites/Equipe.Obras/Lists/05  Contas a Pagar";"Título";"Title";"Text";"False";"False";"False";"";""
"05 — Contas a Pagar";"69b7469b-9cb9-4509-87dd-bba00b8142fd";"/sites/Equipe.Obras/Lists/05  Contas a Pagar";"Comentários do Aprovador";"_ModerationComments";"Note";"False";"True";"True";"";""
"05 — Contas a Pagar";"69b7469b-9cb9-4509-87dd-bba00b8142fd";"/sites/Equipe.Obras/Lists/05  Contas a Pagar";"Nº Conta a Pagar";"LinkTitle";"Computed";"False";"False";"True";"";""
"05 — Contas a Pagar";"69b7469b-9cb9-4509-87dd-bba00b8142fd";"/sites/Equipe.Obras/Lists/05  Contas a Pagar";"Tipo de Arquivo";"File_x0020_Type";"Text";"False";"True";"True";"";""
"05 — Contas a Pagar";"69b7469b-9cb9-4509-87dd-bba00b8142fd";"/sites/Equipe.Obras/Lists/05  Contas a Pagar";"Cor";"_ColorHex";"Text";"False";"True";"True";"";""
"05 — Contas a Pagar";"69b7469b-9cb9-4509-87dd-bba00b8142fd";"/sites/Equipe.Obras/Lists/05  Contas a Pagar";"Pressione Delete para excluir o ícone.";"_ColorTag";"Text";"False";"False";"True";"";""
"05 — Contas a Pagar";"69b7469b-9cb9-4509-87dd-bba00b8142fd";"/sites/Equipe.Obras/Lists/05  Contas a Pagar";"Emoji";"_Emoji";"Text";"False";"True";"True";"";""
"05 — Contas a Pagar";"69b7469b-9cb9-4509-87dd-bba00b8142fd";"/sites/Equipe.Obras/Lists/05  Contas a Pagar";"ID de Ativo de Conformidade";"ComplianceAssetId";"Text";"False";"False";"True";"";""
"05 — Contas a Pagar";"69b7469b-9cb9-4509-87dd-bba00b8142fd";"/sites/Equipe.Obras/Lists/05  Contas a Pagar";"Nº Controle NF";"N_x00ba_ControleNF";"Text";"False";"False";"False";"";""
"05 — Contas a Pagar";"69b7469b-9cb9-4509-87dd-bba00b8142fd";"/sites/Equipe.Obras/Lists/05  Contas a Pagar";"Nº da Nota Fiscal";"N_x00ba_daNotaFiscal";"Text";"False";"False";"False";"";""
"05 — Contas a Pagar";"69b7469b-9cb9-4509-87dd-bba00b8142fd";"/sites/Equipe.Obras/Lists/05  Contas a Pagar";"Nº do Pedido";"N_x00ba_doPedido";"Text";"False";"False";"False";"";""
"05 — Contas a Pagar";"69b7469b-9cb9-4509-87dd-bba00b8142fd";"/sites/Equipe.Obras/Lists/05  Contas a Pagar";"Obra";"Obra";"Lookup";"True";"False";"False";"a9afadc1-f843-45c0-a628-4f49a8716832";"NomedaObra"
"05 — Contas a Pagar";"69b7469b-9cb9-4509-87dd-bba00b8142fd";"/sites/Equipe.Obras/Lists/05  Contas a Pagar";"Código da Obra";"C_x00f3_digodaObra";"Lookup";"False";"False";"False";"a9afadc1-f843-45c0-a628-4f49a8716832";"Title"
